Country,Dystopia Residual,Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Trust (Government Corruption),Year
Switzerland,2.51738,1.39651,1.34951,0.66557,0.29678000000000004,1,7.5870000000000015,0.94143,0.41978,2015
Iceland,2.70201,1.30232,1.40223,0.6287699999999999,0.4363,2,7.561,0.94784,0.14145,2015
Denmark,2.4920400000000003,1.32548,1.36058,0.6493800000000001,0.34139,3,7.527,0.87464,0.48357,2015
Norway,2.46531,1.459,1.33095,0.66973,0.34699,4,7.522,0.88521,0.36503,2015
Canada,2.45176,1.32629,1.32261,0.63297,0.45811,5,7.427,0.90563,0.32957,2015
Finland,2.61955,1.29025,1.31826,0.64169,0.23351,6,7.4060000000000015,0.8891100000000001,0.41372,2015
Netherlands,2.4657,1.32944,1.28017,0.6157600000000001,0.4761,7,7.377999999999999,0.89284,0.31814000000000003,2015
Sweden,2.3711900000000004,1.33171,1.2890700000000002,0.6598,0.36262,8,7.364,0.91087,0.43844,2015
New Zealand,2.26425,1.2501799999999998,1.31967,0.6393800000000001,0.47501,9,7.286,0.90837,0.42922,2015
Australia,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,0.35637,2015
Israel,3.08854,1.2285700000000002,1.22393,0.41319,0.33172,11,7.278,0.91387,0.07785,2015
Costa Rica,3.17728,0.95578,1.23788,0.63376,0.25497,12,7.226,0.8602700000000001,0.10583,2015
Austria,2.5332,1.33723,1.29704,0.62433,0.33088,13,7.2,0.8904200000000001,0.18676,2015
Mexico,3.6021400000000003,1.02054,0.91451,0.48181,0.14074,14,7.187,0.8144399999999999,0.21312,2015
United States,2.51011,1.39451,1.24711,0.54604,0.40105,15,7.119,0.86179,0.1589,2015
Brazil,3.26001,0.98124,1.23287,0.49049,0.14574,16,6.983,0.69702,0.17521,2015
Luxembourg,1.96961,1.56391,1.21963,0.61583,0.28034000000000003,17,6.9460000000000015,0.91894,0.37798,2015
Ireland,1.9757,1.33596,1.36948,0.6177699999999999,0.45901,18,6.94,0.89533,0.28703,2015
Belgium,2.4148400000000003,1.30782,1.28566,0.5845,0.2225,19,6.937,0.8966700000000001,0.2254,2015
United Arab Emirates,2.24743,1.42727,1.12575,0.64157,0.26428,20,6.901,0.80925,0.38583,2015
United Kingdom,1.96994,1.26637,1.28548,0.59625,0.51912,21,6.867000000000001,0.90943,0.32067,2015
Oman,2.4748900000000003,1.36011,1.08182,0.63274,0.21542,22,6.853,0.76276,0.32524000000000003,2015
Venezuela,3.19131,1.04424,1.25596,0.42908,0.05841,23,6.81,0.7205199999999999,0.11069,2015
Singapore,1.88501,1.52186,1.02,0.54252,0.31105,24,6.797999999999999,1.02525,0.4921,2015
Panama,2.84848,1.06353,1.1985,0.5421,0.24434,25,6.7860000000000005,0.79661,0.0927,2015
Germany,2.1156900000000003,1.32792,1.29937,0.6147699999999999,0.28214,26,6.75,0.89186,0.21843,2015
Chile,2.67585,1.10715,1.12447,0.44132,0.33363000000000004,27,6.67,0.85857,0.12869,2015
Qatar,1.55674,1.69042,1.0786,0.6404,0.32573,28,6.6110000000000015,0.79733,0.52208,2015
France,2.21126,1.27778,1.2603799999999998,0.55011,0.12332,29,6.575,0.94579,0.20646,2015
Argentina,2.8360000000000003,1.05351,1.24823,0.44974,0.11451,30,6.574,0.78723,0.08484,2015
Czech Republic,2.67782,1.17898,1.20643,0.46364,0.10686,31,6.505,0.84483,0.02652,2015
Uruguay,2.3214200000000003,1.06166,1.2089,0.6036199999999999,0.2324,32,6.485,0.8116,0.24558,2015
Colombia,2.85737,0.91861,1.2401799999999998,0.53466,0.18401,33,6.477,0.69077,0.0512,2015
Thailand,2.31945,0.9669,1.26504,0.5566399999999999,0.5763,34,6.455,0.7385,0.03187,2015
Saudi Arabia,2.43872,1.39541,1.0839299999999998,0.31048000000000003,0.13706,35,6.4110000000000005,0.72025,0.32524000000000003,2015
Spain,2.12367,1.23011,1.31379,0.45951,0.18227,36,6.329,0.95562,0.06398,2015
Malta,1.6488,1.2074,1.30203,0.60365,0.51752,37,6.3020000000000005,0.88721,0.13585999999999998,2015
Taiwan,2.32323,1.29098,1.07617,0.3974,0.25376,38,6.297999999999999,0.8753,0.08129,2015
Kuwait,1.87634,1.5542200000000002,1.16594,0.55499,0.16228,39,6.295,0.72492,0.25609,2015
Suriname,2.79094,0.99534,0.972,0.5965699999999999,0.16990999999999998,40,6.269,0.6082,0.13633,2015
Trinidad and Tobago,2.2688200000000003,1.21183,1.18354,0.55884,0.31844,41,6.167999999999998,0.61483,0.0114,2015
