Country,Dystopia Residual,Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Trust (Government Corruption),Year
Italy,1.81331205368042,1.39506661891937,1.44492328166962,0.256450712680817,0.17278964817523998,48,5.96400022506714,0.8531443476676941,0.0280280914157629,2017
Russia,2.20560741424561,1.28177809715271,1.46928238868713,0.373783111572266,0.0522638224065304,49,5.962999820709231,0.547349333763123,0.0329628810286522,2017
Belize,2.63195562362671,0.907975316047668,1.08141779899597,0.5475093722343439,0.24001564085483604,50,5.955999851226809,0.450191766023636,0.0965810716152191,2017
Japan,1.36322355270386,1.41691517829895,1.43633782863617,0.505625545978546,0.12057276815176,51,5.92000007629395,0.9134758710861208,0.163760736584663,2017
Lithuania,2.22844052314758,1.3145823478698702,1.47351610660553,0.234231784939766,0.010164656676352,52,5.90199995040894,0.62894994020462,0.0118656428530812,2017
Algeria,2.5676038265228303,1.09186446666718,1.1462174654007,0.233335807919502,0.0694366469979286,53,5.8720002174377415,0.6175846457481379,0.14609611034393302,2017
Latvia,1.9936552047729497,1.26074862480164,1.40471494197845,0.325707912445068,0.153074786067009,54,5.849999904632571,0.638566970825195,0.0738427266478539,2017
South Korea,1.8803780078887904,1.40167844295502,1.1282744407653795,0.257921665906906,0.206674367189407,55,5.837999820709231,0.900214076042175,0.0632826685905457,2017
Moldova,2.80780839920044,0.7288706302642819,1.25182557106018,0.240729048848152,0.20877912640571605,56,5.837999820709231,0.5894652009010309,0.0100912861526012,2017
Romania,2.17683148384094,1.21768391132355,1.15009129047394,0.457003742456436,0.133519917726517,57,5.824999809265139,0.6851583123207089,0.004387900698930029,2017
Bolivia,2.44327902793884,0.833756566047668,1.22761905193329,0.5587329268455511,0.22556072473526,58,5.82299995422363,0.4736302495002751,0.0604777261614799,2017
Turkmenistan,1.83290982246399,1.1307767629623402,1.49314916133881,0.41827192902565,0.24992498755455,59,5.82200002670288,0.437726080417633,0.2592703402042389,2017
Kazakhstan,1.78489255905151,1.2845562696456898,1.38436901569366,0.43745428323745705,0.20196442306041695,60,5.8189997673034695,0.6060415506362921,0.11928288638591802,2017
North Cyprus,1.54915761947632,1.3469113111496,1.18630337715149,0.471203625202179,0.266845703125,61,5.80999994277954,0.834647238254547,0.155353352427483,2017
Slovenia,1.31331729888916,1.3412059545517,1.4525188207626298,0.572575807571411,0.242649093270302,62,5.75799989700317,0.7908282279968258,0.0451289787888527,2017
Peru,2.20726943016052,1.03522527217865,1.21877038478851,0.4500028789043429,0.126819714903831,63,5.71500015258789,0.6301661133766171,0.0470490865409374,2017
Mauritius,1.6975839138031,1.18939554691315,1.20956099033356,0.491247326135635,0.360933750867844,64,5.62900018692017,0.6380074620246889,0.0421815551817417,2017
Cyprus,1.62124919891357,1.35593807697296,1.13136327266693,0.35511153936386103,0.271254301071167,65,5.62099981307983,0.84471470117569,0.0412379764020443,2017
Estonia,1.35750865936279,1.3208793401718102,1.47667109966278,0.479131430387497,0.0988908112049103,66,5.61100006103516,0.695168316364288,0.18324892222881306,2017
Belarus,1.72323298454285,1.15655755996704,1.4449452161788898,0.295400261878967,0.15513750910759,67,5.5689997673034695,0.6377142667770389,0.156313821673393,2017
Libya,1.8350112438201895,1.10180306434631,1.35756433010101,0.465733230113983,0.15207366645336198,68,5.525000095367429,0.520169019699097,0.0926102101802826,2017
Turkey,1.87927794456482,1.1982743740081798,1.33775317668915,0.300740599632263,0.0466930419206619,69,5.5,0.6376056075096129,0.0996715798974037,2017
Paraguay,1.6853334903717,0.932537317276001,1.50728487968445,0.473507791757584,0.224150657653809,70,5.493000030517581,0.579250693321228,0.091065913438797,2017
"Hong Kong S.A.R., China",0.554633140563965,1.55167484283447,1.26279091835022,0.490968644618988,0.374465793371201,71,5.47200012207031,0.943062424659729,0.293933749198914,2017
Philippines,1.9726047515869096,0.85769921541214,1.25391757488251,0.585214674472809,0.193513423204422,72,5.42999982833862,0.468009054660797,0.0993318930268288,2017
Serbia,1.94708442687988,1.06931757926941,1.2581897974014298,0.20871552824974104,0.22012588381767295,73,5.39499998092651,0.65078467130661,0.0409037806093693,2017
Jordan,1.79117655754089,0.9910123944282528,1.23908889293671,0.418421149253845,0.17217046022415194,74,5.33599996566772,0.6045900583267211,0.11980327218771003,2017
Hungary,1.7164592742919902,1.2860119342803995,1.34313309192657,0.17586351931095098,0.0784016624093056,75,5.32399988174438,0.6877634525299069,0.0366369374096394,2017
Jamaica,1.61232566833496,0.925579309463501,1.3682180643081698,0.474307239055634,0.23381833732128104,76,5.31099987030029,0.6410223841667181,0.0552677810192108,2017
Croatia,1.85449242591858,1.22255623340607,0.96798300743103,0.255772292613983,0.248002976179123,77,5.2930002212524405,0.701288521289825,0.0431031100451946,2017
Kosovo,2.01054072380066,0.951484382152557,1.13785350322723,0.260287940502167,0.319931447505951,78,5.27899980545044,0.541452050209045,0.0574716180562973,2017
China,1.76493859291077,1.08116579055786,1.16083741188049,0.472787708044052,0.0288068410009146,79,5.2729997634887695,0.741415500640869,0.0227942746132612,2017
Pakistan,2.7924892902374303,0.7268835306167599,0.6726906895637509,0.23521526157856,0.3154460191726681,80,5.26900005340576,0.402047783136368,0.124348066747189,2017
Indonesia,1.42947697639465,0.995538592338562,1.27444469928741,0.443323463201523,0.611704587936401,81,5.26200008392334,0.4923457205295561,0.0153171354904771,2017
Venezuela,1.78946375846863,1.12843120098114,1.43133759498596,0.15399712324142498,0.0650196298956871,82,5.25,0.617144227027893,0.0644911229610443,2017
Montenegro,1.72919154167175,1.12112903594971,1.23837649822235,0.194989055395126,0.197911024093628,83,5.23699998855591,0.6674646735191351,0.0881741940975189,2017
Morocco,2.45618939399719,0.8781145811080929,0.774864435195923,0.408158332109451,0.0322099551558495,84,5.2350001335144,0.59771066904068,0.0877631828188896,2017
Azerbaijan,1.7624816894531203,1.1536017656326298,1.15240025520325,0.3981558382511141,0.0452693402767181,85,5.2340002059936515,0.5407757759094239,0.180987507104874,2017
Dominican Republic,1.3194651603698702,1.07937383651733,1.4024167060852095,0.55258983373642,0.186967849731445,86,5.230000019073491,0.574873745441437,0.113945253193378,2017
Greece,1.74922156333923,1.28948748111725,1.23941457271576,0.0957312509417534,0.0,87,5.227000236511231,0.8101989030838009,0.04328977689147,2017
